2026-09-11 21:23:33.168 [Info] (Server) POST /api/v1/chat/completions - 200 OK
2026-09-11 21:23:39.156 [Info] (Process) 29.40.117.875 I slot launch_slot_: id  0 | task 5376 | processing task, is_child = 0
2026-09-11 21:24:41.245 [Info] (Process) 30.42.206.928 I slot      release: id  0 | task 5376 | stop processing: n_tokens = 15400, truncated = 0
2026-09-11 21:24:41.245 [Info] (Process) 30.42.207.131 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1842146247
2026-09-11 21:24:41.246 [Info] (Telemetry) Inference completed: model=Huihui-Qwen3.6-35B-A3B-abliterated-MTP-GGUF-Q4_K, tokens=15400 (in=13445, out=1955), ttft=32.22s, tps=65.41
2026-09-11 21:24:45.730 [Info] (Process) 30.46.691.943 I slot launch_slot_: id  0 | task 6337 | processing task, is_child = 0
2026-09-11 21:24:51.338 [Info] (Process) 30.52.300.215 I slot print_timing: id  0 | task 6337 | prompt processing, n_tokens =   1452, progress = 1.00, t =   3.92 s / 370.15 tokens per second
2026-09-11 21:24:55.215 [Info] (Process) 30.56.177.187 I slot print_timing: id  0 | task 6337 | n_gen =    196, tg =  64.67 t/s, tg_3s =  65.00 t/s
2026-09-11 21:24:58.217 [Info] (Process) 30.59.178.448 I slot print_timing: id  0 | task 6337 | n_gen =    366, tg =  60.67 t/s, tg_3s =  56.64 t/s
2026-09-11 21:25:01.224 [Info] (Process) 31.02.185.750 I slot print_timing: id  0 | task 6337 | n_gen =    540, tg =  59.73 t/s, tg_3s =  57.86 t/s
2026-09-11 21:25:04.249 [Info] (Process) 31.05.211.121 I slot print_timing: id  0 | task 6337 | n_gen =    699, tg =  57.93 t/s, tg_3s =  52.56 t/s
2026-09-11 21:25:07.272 [Info] (Process) 31.08.233.710 I slot print_timing: id  0 | task 6337 | n_gen =    882, tg =  58.45 t/s, tg_3s =  60.54 t/s
2026-09-11 21:25:10.279 [Info] (Process) 31.11.241.297 I slot print_timing: id  0 | task 6337 | n_gen =   1069, tg =  59.07 t/s, tg_3s =  62.18 t/s
2026-09-11 21:25:13.290 [Info] (Process) 31.14.252.172 I slot print_timing: id  0 | task 6337 | n_gen =   1251, tg =  59.27 t/s, tg_3s =  60.45 t/s
2026-09-11 21:25:16.328 [Info] (Process) 31.17.289.753 I slot print_timing: id  0 | task 6337 | n_gen =   1475, tg =  61.09 t/s, tg_3s =  73.74 t/s
2026-09-11 21:25:17.638 [Info] (Process) 31.18.599.621 I slot print_timing: id  0 | task 6337 | prompt eval time =    6470.00 ms /  1456 tokens (    4.44 ms per token,   225.04 tokens per second)
2026-09-11 21:25:17.638 [Info] (Process) 31.18.599.647 I slot print_timing: id  0 | task 6337 |        eval time =   25437.57 ms /  1577 tokens (   16.14 ms per token,    61.96 tokens per second)
2026-09-11 21:25:17.638 [Info] (Process) 31.18.599.649 I slot print_timing: id  0 | task 6337 |       total time =   31907.57 ms /  3033 tokens
2026-09-11 21:25:17.638 [Info] (Process) 31.18.599.650 I slot print_timing: id  0 | task 6337 |    graphs reused =       7386
2026-09-11 21:25:17.638 [Info] (Process) 31.18.599.657 I slot print_timing: id  0 | task 6337 | draft acceptance = 0.63358 ( 1034 accepted /  1632 generated), mean len =  2.90
2026-09-11 21:25:17.638 [Info] (Process) 31.18.600.166 I slot      release: id  0 | task 6337 | stop processing: n_tokens = 16017, truncated = 0
2026-09-11 21:25:17.639 [Info] (Telemetry) Inference completed: model=Huihui-Qwen3.6-35B-A3B-abliterated-MTP-GGUF-Q4_K, tokens=3033 (in=1456, out=1577), ttft=6.47s, tps=61.96
